image,target_xywh,target_cls,target_cls_fine,xywh,cls,conf
07feb_ma_sbr3_JPG_jpg.rf.f14921ba4874b3d05f47319163e05be2,"[[0.46412037037037035, 0.5775462962962963, 0.6905864197530864, 0.7199074074074074]]",[8],[15],"[[51.50691604614258, 650.984130859375, 102.94104766845703, 420.2369384765625], [596.3240966796875, 497.1456298828125, 921.03759765625, 643.5885009765625], [596.5803833007812, 497.1825866699219, 924.3555908203125, 640.0330200195312]]","[2.0, 2.0, 8.0]","[0.7444859147071838, 0.6558623909950256, 0.4155755341053009]"
P1130286_jpg.rf.7e9c57e4056b97b93a28df59996ed2de,"[[0.5846354166666666, 0.51220703125, 0.6953125, 0.693359375]]",[12],[28],"[[902.9256591796875, 1098.8953857421875, 1076.4541015625, 1551.4476318359375]]",[12.0],[0.9269462823867798]
9511_img_jpg.rf.c9393cb33e0bb8cd61a2446a3616c6ef,"[[0.16018518518518518, 0.83, 0.12407407407407407, 0.28], [0.2537037037037037, 0.245, 0.1111111111111111, 0.1], [0.37592592592592594, 0.32625, 0.09259259259259259, 0.1675], [0.9166666666666666, 0.75875, 0.1037037037037037, 0.2925], [0.18425925925925926, 0.44625, 0.12777777777777777, 0.1075], [0.15648148148148147, 0.25875, 0.06851851851851852, 0.1425], [0.3611111111111111, 0.445, 0.13333333333333333, 0.09], [0.29444444444444445, 0.58625, 0.14814814814814814, 0.1325], [0.7675925925925926, 0.29875, 0.15, 0.1375], [0.8324074074074074, 0.41125, 0.15, 0.1375], [0.5990740740740741, 0.59875, 0.12777777777777777, 0.3025], [0.675, 0.61625, 0.18703703703703703, 0.2625]]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]","[[494.85540771484375, 299.38665771484375, 65.46395874023438, 101.47451782226562], [455.1509094238281, 160.27369689941406, 92.01190185546875, 51.64373779296875], [160.43504333496094, 236.82333374023438, 87.52680206298828, 60.77935791015625], [413.75323486328125, 128.25680541992188, 114.15625, 53.45875549316406], [98.0360336303711, 174.48939514160156, 75.07911682128906, 40.902130126953125], [363.3027038574219, 250.63839721679688, 119.22882080078125, 124.31787109375], [199.53173828125, 130.00445556640625, 60.35284423828125, 83.51182556152344], [322.6217346191406, 244.64816284179688, 92.10455322265625, 138.32244873046875], [82.54794311523438, 101.36558532714844, 42.22245407104492, 58.78057098388672]]","[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]","[0.8830488920211792, 0.8128196001052856, 0.7855836749076843, 0.7713470458984375, 0.7433368563652039, 0.7333914041519165, 0.6702471375465393, 0.631112813949585, 0.3111923635005951]"
plant-rust-southern-rust-on-corn-leaf-plant-diseases-rust-of-wheat_jpg.rf.7f2dce03273a2cb71135d69199e66a31,"[[0.5057142857142857, 0.5031120331950207, 0.5371428571428571, 0.9937759336099585]]",[4],[9],"[[298.6777648925781, 239.91702270507812, 506.30340576171875, 479.83404541015625]]",[4.0],[0.9380710124969482]
potato-early-blight-alternaria-alternata-lesion-on-a-potato-leaf-a1w1em_jpg.rf.f01e6408169c03aa8bf4a0224b5348a8,"[[0.5636672325976231, 0.48518518518518516, 0.8726655348047538, 0.6518518518518519], [0.14091680814940577, 0.6185185185185185, 0.26485568760611206, 0.35555555555555557]]","[6, 6]","[12, 12]","[[336.71820068359375, 260.4530944824219, 504.0335388183594, 352.9789123535156], [81.32879638671875, 338.76806640625, 162.6575927734375, 174.43740844726562]]","[6.0, 6.0]","[0.9453727602958679, 0.9080842137336731]"
depositphotos_2795312-stock-photo-green-raspberry-leaf_jpg.rf.7e80cb38e766600f8b82e18ba85ab240,"[[0.328125, 0.58984375, 0.5390625, 0.4973958333333333], [0.53759765625, 0.21809895833333334, 0.2900390625, 0.33984375], [0.73193359375, 0.6653645833333334, 0.2822265625, 0.640625]]","[7, 7, 7]","[14, 14, 14]","[[756.9271850585938, 510.09014892578125, 310.8154296875, 505.8542785644531], [549.8171997070312, 161.70938110351562, 309.8212890625, 262.2176513671875], [339.8720703125, 448.6733093261719, 546.379638671875, 382.23468017578125]]","[7.0, 7.0, 7.0]","[0.970881462097168, 0.9606541395187378, 0.9598742723464966]"
BIGSD_jpg.rf.1dc63802453fb77642018f5bda5c6f5b,"[[0.9244444444444444, 0.35968379446640314, 0.08888888888888889, 0.22134387351778656], [0.8255555555555556, 0.16600790513833993, 0.09555555555555556, 0.11067193675889328], [0.7144444444444444, 0.1976284584980237, 0.09555555555555556, 0.11067193675889328], [0.72, 0.32608695652173914, 0.06222222222222222, 0.1067193675889328], [0.8377777777777777, 0.3300395256916996, 0.09777777777777778, 0.1067193675889328], [0.7888888888888889, 0.5138339920948617, 0.06666666666666667, 0.1976284584980237]]","[11, 11, 11, 11, 11, 11]","[26, 26, 26, 26, 26, 26]","[[368.8566589355469, 40.42563247680664, 40.26507568359375, 24.974626541137695], [354.53533935546875, 128.0146484375, 28.798370361328125, 58.24384307861328]]","[11.0, 11.0]","[0.6814024448394775, 0.6511117815971375]"
photo4_jpg.rf.9e83c0f47a58f41f0da06c6fed9b908e,"[[0.5504557291666666, 0.5576171875, 0.8600260416666666, 0.884765625]]",[9],[17],"[[769.5420532226562, 916.3526611328125, 1462.1676025390625, 1233.73193359375]]",[9.0],[0.682883083820343]
0605_Rust-induced_leafspot_jpg.rf.6b3660d3693bdb31f3d3d43b1a7c5265,"[[0.4472140762463343, 0.5106382978723404, 0.8592375366568915, 0.9148936170212766]]",[0],[2],"[[152.55715942382812, 93.78656005859375, 304.332763671875, 170.86077880859375]]",[0.0],[0.9392669200897217]
phytophthora-infestans-late-blight-or-potato-blight-on-the-haulm-of-EHW1RD_jpg.rf.aae8384f4ced238b6bbbc9dbf30df381,"[[0.684393063583815, 0.2733812949640288, 0.5826589595375723, 0.302158273381295], [0.5924855491329479, 0.5176258992805756, 0.6069364161849711, 0.35899280575539566], [0.28670520231213875, 0.770863309352518, 0.4578034682080925, 0.3057553956834532], [0.1699421965317919, 0.09064748201438849, 0.3375722543352601, 0.17985611510791366]]","[6, 6, 6, 6]","[13, 13, 13, 13]","[[480.5940246582031, 705.9816284179688, 604.1985473632812, 500.0378723144531], [251.41552734375, 1051.927734375, 385.144287109375, 383.36236572265625], [482.8722839355469, 74.20922088623047, 487.51080322265625, 148.27757263183594]]","[6.0, 6.0, 0.0]","[0.9469060897827148, 0.942582905292511, 0.30894023180007935]"
