                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2985,                 2.7012,                 1.5636,                0.15282,                0.24685,                0.11257,                0.06071,                 1.4964,                 17.038,                 1.9348,             0.00023611,             0.00023611,             0.00023611
                      2,                 1.4229,                  2.439,                 1.6344,                0.21147,                0.44585,                0.19945,                0.10313,                 1.5935,                   3.59,                 1.9892,             0.00046942,             0.00046942,             0.00046942
                      3,                 1.4425,                 2.4047,                 1.6494,                0.18915,                0.50383,                0.24001,                0.13988,                 1.5467,                 2.4254,                 1.8447,             0.00069801,             0.00069801,             0.00069801
                      4,                 1.4133,                  2.263,                 1.6158,                0.33347,                0.45928,                0.35328,                0.22966,                 1.4363,                 2.1938,                 1.7966,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.3801,                  2.169,                 1.6214,                0.35035,                0.48992,                0.27388,                0.16738,                 1.4794,                   2.15,                 1.7777,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.3711,                 2.0735,                 1.5905,                 0.4273,                 0.4854,                0.41336,                0.26762,                 1.3874,                 1.6473,                 1.6807,             0.00068573,             0.00068573,             0.00068573
                      7,                  1.315,                 1.9926,                 1.5651,                0.46657,                0.55918,                0.45561,                 0.3062,                 1.3749,                 1.8759,                 1.6679,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.3116,                 1.8761,                 1.5684,                0.39546,                0.53102,                0.45597,                0.31065,                 1.3805,                 1.7794,                 1.6778,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.2798,                 1.8018,                 1.5474,                0.44737,                0.58503,                0.49897,                0.33263,                 1.2966,                 1.6428,                 1.5972,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.2403,                 1.7547,                 1.5115,                0.41513,                0.55522,                0.48626,                0.33742,                 1.3225,                 1.7022,                 1.6226,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.2343,                 1.7181,                 1.4937,                0.43824,                0.59066,                0.50204,                0.35067,                 1.3499,                 1.6576,                 1.6641,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.2466,                 1.6925,                 1.5143,                0.43747,                0.60413,                0.51677,                 0.3411,                 1.3471,                 1.4722,                 1.6543,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.2225,                 1.6585,                  1.496,                0.45964,                0.58993,                0.51745,                0.34649,                 1.3211,                 1.3378,                 1.6351,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.2261,                 1.5877,                 1.4791,                 0.5586,                0.58978,                0.60066,                0.41232,                 1.3383,                 1.5079,                 1.6357,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.2035,                 1.5664,                 1.4724,                0.64832,                 0.5683,                0.58222,                 0.4013,                 1.2937,                  1.311,                 1.6266,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.1927,                 1.5288,                 1.4675,                0.54169,                0.60655,                 0.6098,                0.43365,                 1.2748,                 1.3904,                 1.5923,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.2079,                    1.5,                 1.4773,                0.63644,                0.60336,                0.57839,                0.39953,                 1.3036,                 1.2633,                 1.6191,             0.00060797,             0.00060797,             0.00060797
