                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8321,                 3.7123,                 2.0291,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070238,              0.0033069,              0.0033069
                      2,                 1.8136,                 3.3722,                 1.9957,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040019,              0.0064211,              0.0064211
                      3,                 1.7187,                 3.2147,                 1.9304,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0095798,              0.0093153,              0.0093153
                      4,                 1.6613,                 3.0822,                 1.8568,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                      5,                  1.589,                 2.9695,                 1.8141,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                      6,                 1.5581,                 2.8576,                  1.782,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00868,                0.00868,                0.00868
                      7,                 1.5203,                 2.8105,                 1.7542,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00835,                0.00835,                0.00835
                      8,                    1.5,                 2.6908,                 1.7362,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                      9,                 1.4827,                 2.6643,                 1.7197,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00769,                0.00769,                0.00769
                     10,                 1.4234,                 2.5773,                  1.664,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00736,                0.00736,                0.00736
                     11,                 1.4123,                  2.571,                 1.6537,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     12,                 1.4487,                 2.5292,                 1.6792,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0067,                 0.0067,                 0.0067
                     13,                  1.403,                 2.4934,                 1.6469,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00637,                0.00637,                0.00637
                     14,                 1.4091,                 2.4419,                 1.6259,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     15,                 1.3909,                 2.4304,                  1.615,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00571,                0.00571,                0.00571
                     16,                 1.3671,                 2.3212,                 1.6071,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00538,                0.00538,                0.00538
                     17,                 1.3626,                 2.3009,                 1.6066,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                     18,                 1.3505,                  2.259,                 1.5839,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00472,                0.00472,                0.00472
                     19,                 1.2863,                 2.1757,                 1.5371,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00439,                0.00439,                0.00439
                     20,                 1.2973,                 2.1508,                 1.5524,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     21,                  1.305,                  2.181,                 1.5965,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00373,                0.00373,                0.00373
                     22,                 1.2855,                 2.1036,                 1.5992,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0034,                 0.0034,                 0.0034
                     23,                 1.2808,                 2.0658,                 1.5823,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                     24,                 1.2549,                 2.0396,                 1.5746,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00274,                0.00274,                0.00274
                     25,                 1.2328,                 1.9525,                 1.5473,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00241,                0.00241,                0.00241
                     26,                 1.2149,                 1.9354,                 1.5151,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     27,                 1.1894,                 1.8751,                 1.5225,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00175,                0.00175,                0.00175
                     28,                 1.1924,                 1.8301,                 1.4928,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00142,                0.00142,                0.00142
                     29,                 1.1639,                 1.7859,                 1.4801,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                     30,                 1.1284,                 1.7444,                 1.4578,                0.36242,                0.57425,                0.45328,                0.32107,                 1.2686,                 1.5611,                 1.5875,                0.00076,                0.00076,                0.00076
