                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0092,                 2.3668,                  2.472,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.074031,              0.0012636,              0.0012636
                      2,                 1.0631,                 2.2445,                 2.5346,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.04777,              0.0024537,              0.0024537
                      3,                 1.0146,                 2.1279,                 2.4571,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.021425,                0.00356,                0.00356
                      4,                0.98483,                 2.0576,                 2.4069,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041814,              0.0041814,              0.0041814
                      5,                0.94228,                 1.9605,                 2.3338,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041814,              0.0041814,              0.0041814
                      6,                0.93553,                 1.9034,                 2.3106,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040285,              0.0040285,              0.0040285
                      7,                0.89723,                 1.8375,                 2.2614,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0038757,              0.0038757,              0.0038757
                      8,                 0.8841,                 1.7652,                  2.238,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037228,              0.0037228,              0.0037228
                      9,                0.86655,                 1.7069,                 2.1989,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035699,              0.0035699,              0.0035699
                     10,                0.84238,                 1.6742,                 2.1631,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034171,              0.0034171,              0.0034171
                     11,                0.85132,                 1.6433,                  2.152,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032642,              0.0032642,              0.0032642
                     12,                0.83569,                 1.6167,                  2.146,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031113,              0.0031113,              0.0031113
                     13,                0.82868,                 1.5762,                 2.1347,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0029585,              0.0029585,              0.0029585
                     14,                0.81001,                 1.5337,                 2.0931,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028056,              0.0028056,              0.0028056
                     15,                0.80406,                 1.5398,                 2.0951,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026527,              0.0026527,              0.0026527
                     16,                0.78668,                 1.4749,                 2.0735,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024998,              0.0024998,              0.0024998
                     17,                0.77994,                  1.441,                 2.0485,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002347,               0.002347,               0.002347
                     18,                0.75495,                  1.402,                 2.0212,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021941,              0.0021941,              0.0021941
                     19,                0.74403,                   1.36,                 2.0014,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020412,              0.0020412,              0.0020412
                     20,                0.75175,                 1.3501,                 2.0185,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018884,              0.0018884,              0.0018884
                     21,                0.73072,                 1.3429,                 2.0018,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017355,              0.0017355,              0.0017355
                     22,                0.70421,                 1.2789,                 1.9819,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015826,              0.0015826,              0.0015826
                     23,                0.70453,                 1.2387,                 1.9635,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014298,              0.0014298,              0.0014298
                     24,                0.69926,                 1.2379,                 1.9587,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012769,              0.0012769,              0.0012769
                     25,                0.67641,                 1.1669,                 1.9119,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001124,               0.001124,               0.001124
                     26,                0.67012,                 1.1735,                 1.8871,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00097117,             0.00097117,             0.00097117
                     27,                0.65528,                  1.117,                 1.8924,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008183,              0.0008183,              0.0008183
                     28,                0.65097,                 1.0818,                 1.8693,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066543,             0.00066543,             0.00066543
                     29,                0.63287,                 1.0667,                 1.8313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00051257,             0.00051257,             0.00051257
                     30,                0.60334,                 1.0093,                 1.7973,                0.43908,                0.60643,                0.52515,                0.37265,                0.79082,                 1.0095,                 2.1526,              0.0003597,              0.0003597,              0.0003597
