                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2942,                 3.2174,                 1.5635,                0.14025,                0.27433,                0.04784,                0.02717,                 1.5464,                    inf,                 1.9441,             0.00023611,             0.00023611,             0.00023611
                      2,                 1.4311,                 2.8471,                 1.6484,                0.08767,                0.17962,                0.05061,                0.03088,                 1.8238,                 9.8337,                 2.1965,             0.00046942,             0.00046942,             0.00046942
                      3,                 1.4415,                 2.7899,                  1.662,                0.07363,                0.32662,                0.08567,                0.04766,                 1.5906,                 4.6484,                 1.9348,             0.00069801,             0.00069801,             0.00069801
                      4,                 1.4132,                 2.6541,                 1.6225,                0.24947,                0.33749,                0.16203,                0.09914,                 1.4895,                 2.9051,                 1.8617,             0.00069279,             0.00069279,             0.00069279
                      5,                  1.366,                 2.5513,                 1.6193,                0.31394,                0.27778,                0.18111,                 0.1135,                 1.4329,                 2.8286,                 1.7322,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.3541,                 2.4333,                 1.5856,                0.43374,                0.34281,                0.29648,                0.19427,                   1.36,                 2.2638,                   1.66,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.3155,                 2.3363,                 1.5713,                0.29878,                0.36911,                 0.2171,                0.14226,                 1.3759,                   2.63,                 1.7057,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.3185,                 2.2295,                 1.5769,                0.26749,                0.46605,                0.30533,                0.19575,                 1.3726,                 2.2765,                 1.6808,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.2818,                 2.1779,                 1.5573,                0.28755,                0.47365,                0.32693,                0.21196,                 1.3247,                 2.1554,                 1.6274,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.2352,                 2.1065,                 1.5152,                0.60076,                0.32609,                0.35818,                0.23704,                 1.3781,                  2.119,                 1.6836,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.2372,                 2.0909,                 1.5027,                0.28161,                0.52342,                0.37853,                0.25361,                 1.3377,                 2.0942,                 1.6284,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.2553,                  2.092,                 1.5299,                 0.2781,                0.52084,                0.38261,                0.25176,                 1.3191,                 2.0589,                 1.6197,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.2147,                 2.0127,                 1.5019,                 0.4471,                0.45178,                0.41886,                0.27576,                 1.3187,                 1.9209,                 1.6301,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.2251,                 1.8977,                 1.4742,                0.30812,                0.48157,                0.38523,                0.25685,                 1.3297,                 1.8158,                 1.6341,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.2087,                 1.8973,                 1.4737,                0.40153,                0.40816,                0.42611,                0.29056,                 1.2941,                 1.8545,                 1.6228,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.1891,                 1.8441,                 1.4625,                0.38769,                0.52045,                0.47885,                 0.3288,                 1.3238,                 1.6723,                 1.6253,             0.00061504,             0.00061504,             0.00061504
                     17,                  1.202,                 1.8331,                 1.4791,                0.31641,                0.52227,                0.39635,                0.26254,                 1.2775,                 1.7297,                 1.5933,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.1834,                 1.7656,                 1.4549,                0.43659,                0.51838,                0.53252,                0.37377,                 1.2733,                 1.6318,                 1.5749,              0.0006009,              0.0006009,              0.0006009
                     19,                 1.1335,                  1.688,                 1.4191,                0.42742,                0.55373,                0.50783,                0.33522,                 1.2897,                 1.5906,                 1.5964,             0.00059383,             0.00059383,             0.00059383
                     20,                 1.1327,                 1.6907,                 1.4292,                0.39214,                0.48294,                0.45734,                0.30856,                 1.2808,                 1.7885,                 1.6031,             0.00058677,             0.00058677,             0.00058677
                     21,                 1.1399,                 1.6635,                 1.4288,                0.48403,                0.47592,                0.47865,                0.31353,                 1.2973,                 1.7396,                 1.6198,              0.0005797,              0.0005797,              0.0005797
                     22,                 1.1544,                 1.6175,                  1.416,                0.46617,                 0.5021,                0.47738,                 0.3158,                 1.2928,                 1.6407,                 1.6232,             0.00057263,             0.00057263,             0.00057263
                     23,                 1.1219,                 1.5911,                  1.409,                0.39175,                0.52903,                 0.4738,                0.32371,                 1.2674,                 1.6963,                 1.5874,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.1147,                  1.586,                 1.3927,                0.42429,                0.54929,                0.49275,                0.33612,                 1.2836,                 1.7218,                 1.6156,             0.00055849,             0.00055849,             0.00055849
