                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4532,                 3.9397,                 2.0483,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070696,               0.002182,               0.002182
                      2,                 1.4623,                 3.6477,                 2.0453,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.041012,              0.0042367,              0.0042367
                      3,                 1.4017,                 3.4844,                 1.9672,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.011184,               0.006146,               0.006146
                      4,                 1.3519,                 3.3503,                 1.9112,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0062431,              0.0062431,              0.0062431
                      5,                 1.2885,                 3.2305,                 1.8606,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0062431,              0.0062431,              0.0062431
                      6,                 1.2742,                   3.13,                 1.8362,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060141,              0.0060141,              0.0060141
                      7,                 1.2464,                 3.0375,                  1.815,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057851,              0.0057851,              0.0057851
                      8,                 1.2379,                 2.9363,                 1.7804,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055561,              0.0055561,              0.0055561
                      9,                 1.2274,                 2.8675,                 1.7756,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0053272,              0.0053272,              0.0053272
                     10,                 1.1849,                 2.8428,                 1.7592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0050982,              0.0050982,              0.0050982
                     11,                 1.2194,                 2.8252,                 1.7755,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048692,              0.0048692,              0.0048692
                     12,                 1.1943,                 2.7793,                 1.7407,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0046402,              0.0046402,              0.0046402
                     13,                 1.1514,                 2.7201,                 1.6996,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0044113,              0.0044113,              0.0044113
                     14,                  1.162,                 2.6646,                  1.704,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041823,              0.0041823,              0.0041823
                     15,                 1.1514,                 2.6552,                  1.695,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039533,              0.0039533,              0.0039533
                     16,                 1.1318,                 2.5871,                 1.6895,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037243,              0.0037243,              0.0037243
                     17,                 1.1485,                 2.5361,                 1.6937,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034954,              0.0034954,              0.0034954
                     18,                 1.1092,                  2.445,                 1.6583,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032664,              0.0032664,              0.0032664
                     19,                 1.0703,                 2.3896,                 1.6299,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030374,              0.0030374,              0.0030374
                     20,                 1.0708,                 2.3386,                 1.6311,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028084,              0.0028084,              0.0028084
                     21,                 1.0541,                 2.3387,                 1.6239,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025794,              0.0025794,              0.0025794
                     22,                 1.0455,                 2.2643,                 1.6413,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023505,              0.0023505,              0.0023505
                     23,                 1.0243,                 2.1876,                 1.5975,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021215,              0.0021215,              0.0021215
                     24,                 1.0101,                  2.166,                  1.604,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018925,              0.0018925,              0.0018925
                     25,                0.98639,                 2.0633,                 1.5639,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016635,              0.0016635,              0.0016635
                     26,                0.98869,                 2.0818,                 1.5551,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014346,              0.0014346,              0.0014346
                     27,                0.97271,                 2.0219,                  1.561,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012056,              0.0012056,              0.0012056
                     28,                0.96823,                 1.9735,                  1.535,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00097661,             0.00097661,             0.00097661
                     29,                0.94324,                 1.9074,                 1.5051,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00074764,             0.00074764,             0.00074764
                     30,                0.91125,                 1.8338,                 1.4871,                0.40831,                0.58259,                0.47156,                0.33496,                 1.0644,                 1.7235,                 1.6392,             0.00051866,             0.00051866,             0.00051866
